ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_ID
26A-kba,kba,26A,6,26A-6,,Whiteley-and-Muli-1962[passim],
26A-kgz,kgz,26A,2,26A-2,,Hebert-and-Poppe-1963[passim],
20A-kha,kha,20A,1,20A-1,,Binnick-1979;Hangin-1968;Poppe-1970;Street-1963,
21A-kha,kha,21A,1,21A-1,,Binnick-1979;Hangin-1968;Poppe-1970;Street-1963,
21B-kha,kha,21B,1,21B-1,,Poppe-1970;Hangin-1968;Street-1963;Binnick-1979,
22A-kha,kha,22A,2,22A-2,,Binnick-1979;Street-1963,
23A-kha,kha,23A,2,23A-2,,Sanzheev-1959;Sanzheyev-1973,
24A-kha,kha,24A,2,24A-2,,Sanzheev-1959;Sanzheyev-1973,
25A-kha,kha,25A,2,25A-2,,Sanzheev-1959;Sanzheyev-1973,
25B-kha,kha,25B,2,25B-2,,Sanzheyev-1973,
26A-kha,kha,26A,2,26A-2,,Binnick-1979[passim];Hangin-1968[passim];Poppe-1970[passim];Street-1963[passim],
27A-kha,kha,27A,1,27A-1,,Binnick-2001,
28A-kha,kha,28A,4,28A-4,,Sanzheev-and-Todaeva-1993,
29A-kha,kha,29A,1,29A-1,,Sanzheev-and-Todaeva-1993,
26A-khm,khm,26A,1,26A-1,,Gorgoniev-1966[passim],
27A-khm,khm,27A,1,27A-1,,Headley-2001,
28A-khm,khm,28A,1,28A-1,,Gorgoniev-1961,
29A-khm,khm,29A,1,29A-1,,Gorgoniev-1961,
26A-kik,kik,26A,6,26A-6,,Barlow-1960[passim],
27A-kik,kik,27A,1,27A-1,,Njogu-2001a,
20A-knd,knd,20A,1,20A-1,,Sridhar-1990;Steever-1998a,
21A-knd,knd,21A,1,21A-1,,Sridhar-1990;Steever-1998a,
21B-knd,knd,21B,1,21B-1,,Sridhar-1990;Steever-1998a,
22A-knd,knd,22A,2,22A-2,,Sridhar-1990;Steever-1998a,
23A-knd,knd,23A,2,23A-2,,Sridhar-1990,
24A-knd,knd,24A,2,24A-2,,Sridhar-1990,
25A-knd,knd,25A,2,25A-2,,Sridhar-1990,
25B-knd,knd,25B,2,25B-2,,Sridhar-1990,
26A-knd,knd,26A,2,26A-2,,Bright-1958[passim];Schiffman-1983[passim];Sridhar-1990[passim],
27A-knd,knd,27A,1,27A-1,,Sridhar-1990[312],
28A-knd,knd,28A,4,28A-4,,Sridhar-1990,
29A-knd,knd,29A,2,29A-2,,Sridhar-1990,
23A-knr,knr,23A,3,23A-3,,Cyffer-1998;Lukas-1937,
24A-knr,knr,24A,2,24A-2,,Cyffer-1998;Lukas-1937,
25A-knr,knr,25A,5,25A-5,,Cyffer-1998;Lukas-1937,
25B-knr,knr,25B,2,25B-2,,Cyffer-1998;Lukas-1937,
26A-knr,knr,26A,2,26A-2,,Hutchison-1976[passim];Hutchison-1981[passim];Lukas-1937[passim],
27A-knr,knr,27A,1,27A-1,,Moravcsik-1978,
28A-knr,knr,28A,1,28A-1,,Hutchison-1981,
29A-knr,knr,29A,3,29A-3,,Hutchison-1981,
20A-kor,kor,20A,1,20A-1,,Chang-1996;Martin-and-Lee-1969;Ramstedt-1968;Sohn-1994;Song-1988,
21A-kor,kor,21A,1,21A-1,,Chang-1996;Martin-and-Lee-1969;Ramstedt-1968;Sohn-1994;Song-1988,
21B-kor,kor,21B,1,21B-1,,Chang-1996;Ramstedt-1968;Song-1988;Sohn-1994;Martin-and-Lee-1969,
22A-kor,kor,22A,4,22A-4,,Chang-1996;Song-1988,
23A-kor,kor,23A,2,23A-2,,Chang-1996;Sohn-1994,
24A-kor,kor,24A,2,24A-2,,Chang-1996;Sohn-1994,
25A-kor,kor,25A,2,25A-2,,Chang-1996;Sohn-1994,
25B-kor,kor,25B,2,25B-2,,Chang-1996;Sohn-1994,
26A-kor,kor,26A,2,26A-2,,Ramstedt-1968[passim];Sohn-1999[passim],
27A-kor,kor,27A,1,27A-1,,Sohn-1999,
28A-kor,kor,28A,1,28A-1,,Sohn-1999,
29A-kor,kor,29A,1,29A-1,,Sohn-1999,
26A-krd,krd,26A,3,26A-3,,Abdulla-and-McCarus-1967[passim];Blau-1980[passim],
26A-lao,lao,26A,1,26A-1,,Hospitalier-1937[passim];Yates-and-Sayisthsena-1970[passim],
26A-lda,lda,26A,6,26A-6,,Ashton-et-al-1954[passim],
26A-lit,lit,26A,2,26A-2,,Ambrazas-1997[passim];Dambriunas-et-al-1966[passim],
26A-luo,luo,26A,4,26A-4,,Omondi-1982[passim],
