lang,iso_code,wals_code,script,variety,name,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,family,genus,train_frac_estimate,ttr_flores,d_syn,h_dep_avg,h_codep_avg
cmn_Hant,cmn,mnd,Hant,taib1240,Mandarin Chinese (Taiwanese),7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.3006155,0.003523320132,1.000835208,0.0001153559631,0.5520700313,0.008997585952,10.78694394,0.02728879498,10.77949026,0.0235474244,1.0,0.0,2.741359573,0.1482558246,-0.998998999,0.0,Sino-Tibetan,Chinese,0.0,0.951715374841169,0.55,,
crh_Latn,crh,cri,Latn,crim1257,Crimean Tatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altaic,Turkic,0.0006967565902634,0.4502522585943916,0.57,,
cym_Latn,cym,wel,Latn,wels1247,Welsh,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,Indo-European,Celtic,0.0035873129204666,0.2226671672298001,0.57,,
dan_Latn,dan,dsh,Latn,dani1285,Danish,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Indo-European,Germanic,0.0,0.2956039642822098,0.5,0.4537831717972017,0.5687595097933965
deu_Latn,deu,ger,Latn,stan1295,German,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,Indo-European,Germanic,0.0,0.3185257032007759,0.42,0.5519564383964074,0.6136455718816275
dgo_Deva,dgo,dgi,Deva,dogr1250,Dogri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0,0.2371175850036517,0.9,,
dik_Latn,dik,,Latn,sout2832,Southwestern Dinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0003678892228702,0.2031375703942075,0.57,,
dyu_Latn,dyu,dyu,Latn,dyul1238,Dyula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mande,Western Mande,0.0007132496292114,0.3054396903891636,0.57,,
dzo_Tibt,dzo,,Tibt,dzon1239,Dzongkha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,1.1725830432160371e-05,0.9010471998785856,0.57,,
ekk_Latn,ekk,est,Latn,esto1258,Estonian,,,,,,,,,2.0,,,,0.4908085,0.004143989955,1.471287946,0.004032261988,0.4581399005,0.005388463061,11.89101568,0.02754823649,10.86535025,0.03447262611,9.93,0.4063249931,3.704047588,0.6488342858,-0.1770093447,0.0,Uralic,Finnic,0.0,0.4957161896300057,0.69,,
