lang,iso_code,wals_code,script,variety,name,family,genus,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,81A,ttr_flores,rttr_flores,mattr_flores,ttr,msp,ws,wh,lh,is,mfh,-ia,h_dep,h_codep,SO_prop,head_finality,wiki_size
lij_Latn,lij,itg,Latn,geno1240,Ligurian (Genoese),Indo-European,Romance,0.9,0.1,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.213596784996651,36.90962333468929,0.5071627669357371,,,,,,,,,,,,,11264.0
lim_Latn,lim,,Latn,limb1263,Limburgish,Eastern Sudanic,Eastern Nilotic,0.6,0.0,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.3082054703135423,44.64832563476476,0.5869299555815731,,,,,,,,,,,,,14966.0
lin_Latn,lin,lin,Latn,ling1263,Lingala,Niger-Congo,Bantu,1.0,0.3,0.67,0.5119,0.5687,0.6,,,,,,,,,,,,,2.0,0.1568102756221568,23.48073527570002,0.4540631300460847,,,,,,,,,,,,,3865.0
lit_Latn,lit,lit,Latn,lith1251,Lithuanian,Indo-European,Baltic,0.9,0.1,0.68,0.4694,0.3498,0.5,,,,,,,,,2.0,,,,2.0,0.3938486025935115,57.56255982510865,0.6584609337551718,,,,,,,,,0.4591375573468307,0.9625510362507196,-0.607588487397477,0.54,217199.0
lmo_Latn,lmo,,Latn,lomb1257,Lombard,Eastern Sudanic,Eastern Nilotic,0.9,0.1,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.2795558716611348,44.47311313594461,0.521235116288455,,,,,,,,,,,,,74147.0
ltg_Latn,ltg,,Latn,east2282,Latgalian,Eastern Sudanic,Eastern Nilotic,1.0,1.0,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.4431455897980871,57.673657739252526,0.7304124338463347,,,,,,,,,,,,,1081.0
ltz_Latn,ltz,lux,Latn,luxe1241,Luxembourgish,Indo-European,Germanic,0.6,0.0,0.72,0.5983,0.5687,0.8,,,,,,,,,,,,,,0.2533162173727,40.61520906669105,0.5495745794985831,,,,,,,,,,,,,63539.0
lua_Latn,lua,cil,Latn,luba1249,Luba-Kasai,Niger-Congo,Bantu,1.0,0.3,0.57,0.5983,0.3433,0.8,,,,,,,,,,,,,,0.2601686278143241,38.22442954192049,0.5645921183667754,,,,,,,,,,,,,
lug_Latn,lug,lda,Latn,gand1255,Ganda,Niger-Congo,Bantu,1.0,0.3,0.78,0.4928,0.5687,0.6,,,,,,,,,6.0,,,,,0.4856547619047619,62.94805161703541,0.7688655910680371,,,,,,,,,,,,,3104.0
luo_Latn,luo,luo,Latn,luok1236,Luo,Eastern Sudanic,Western Nilotic,1.0,0.3,0.63,0.3969,0.4054,0.5,,,,,,,,,4.0,2.0,,,2.0,0.2200707979698895,33.6981500608658,0.5803155830573445,,,,,,,,,,,,,
