lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
mar_Deva,1.0,0.2,0.64,0.5638,0.5922,0.6
mhr_Cyrl,1.0,0.1,0.68,0.4778,0.3613,0.5
min_Arab,1.0,0.4,0.78,0.5086,0.5922,0.6
min_Latn,1.0,0.4,0.78,0.5086,0.5922,0.6
mkd_Cyrl,1.0,0.0,0.78,0.4533,0.5922,0.6
mlt_Latn,1.0,0.1,0.91,0.4909,0.5922,0.7
mni_Beng,1.0,0.3,0.61,0.5389,0.5049,0.6
mni_Mtei,1.0,0.3,0.61,0.5389,0.5049,0.6
mos_Latn,1.0,0.2,0.71,0.4659,0.9097,0.6
mri_Latn,1.0,0.8,0.72,0.6214,0.7211,0.7
mya_Mymr,1.0,0.3,0.61,0.4815,0.4208,0.5
nld_Latn,1.0,0.1,0.71,0.4527,0.5922,0.6
nno_Latn,1.0,1.0,0.55,0.6196,0.5922,0.6
nob_Latn,1.0,0.1,0.68,0.4958,0.2871,0.6
npi_Deva,1.0,1.0,0.77,0.6196,0.5922,0.9
nqo_Nkoo,1.0,1.0,0.55,0.6196,0.5922,0.6
nso_Latn,1.0,0.4,0.81,0.6196,0.5922,0.9
nus_Latn,1.0,0.2,0.78,0.5466,0.5922,0.7
nya_Latn,1.0,0.3,0.83,0.6196,0.5922,0.9
oci_Latn,1.0,0.1,0.79,0.6196,0.5922,0.9
ory_Orya,1.0,1.0,0.55,0.6196,0.5922,0.6
pag_Latn,1.0,0.4,0.78,0.5533,0.5922,0.7
pan_Guru,1.0,0.2,0.6,0.548,0.5922,0.6
pap_Latn,1.0,0.5,0.9,0.6196,1.0,1.0
pbt_Arab,1.0,0.2,0.55,0.6196,0.5922,0.6
pes_Arab,1.0,0.1,0.6,0.4882,0.2871,0.5
plt_Latn,1.0,0.3,0.81,0.5,0.3433,0.6
pol_Latn,1.0,0.1,0.68,0.5389,0.2048,0.6
por_Latn,1.0,0.2,0.69,0.4672,0.5922,0.6
prs_Arab,1.0,0.2,0.9,0.6196,0.5922,0.9
quy_Latn,1.0,0.6,0.79,0.6336,0.5922,0.7
ron_Latn,1.0,0.1,0.65,0.4882,0.2952,0.5
run_Latn,1.0,0.2,0.85,0.5034,0.5922,0.7
rus_Cyrl,1.0,0.2,0.63,0.5124,0.2048,0.5
sag_Latn,1.0,0.2,0.82,0.4717,0.4788,0.6
san_Deva,1.0,0.2,0.8,0.5812,0.5922,0.7
sat_Olck,1.0,0.3,0.61,0.5403,0.5922,0.6
scn_Latn,1.0,0.1,0.8,0.6196,0.5922,0.9
shn_Mymr,1.0,0.3,0.84,0.6196,0.4909,0.8
sin_Sinh,1.0,0.3,0.7,0.5583,0.369,0.6
slk_Latn,1.0,0.1,0.55,0.6196,0.5922,0.6
slv_Latn,1.0,0.1,0.69,0.4627,0.5922,0.6
smo_Latn,1.0,0.8,0.78,0.6196,0.5922,0.9
sna_Latn,1.0,0.3,0.88,0.5411,0.5922,0.7
snd_Arab,1.0,0.2,0.55,0.5249,0.3613,0.6
snd_Deva,1.0,0.2,0.55,0.5249,0.3613,0.6
som_Latn,1.0,0.2,0.71,0.5348,0.4477,0.6
sot_Latn,1.0,0.4,0.81,0.6196,0.5922,0.9
spa_Latn,1.0,0.1,0.65,0.5608,0.4097,0.6
srd_Latn,1.0,1.0,0.55,0.6196,0.5922,0.6
srp_Cyrl,1.0,0.1,0.76,0.6196,0.8564,0.8
ssw_Latn,1.0,0.4,0.74,0.6196,0.5922,0.8
sun_Latn,1.0,0.5,0.82,0.5209,0.5922,0.7
swe_Latn,1.0,0.1,0.73,0.4765,0.5922,0.6
swh_Latn,1.0,0.3,0.74,0.5064,0.4477,0.6
szl_Latn,1.0,1.0,0.55,0.6196,0.5922,0.6
tam_Taml,1.0,0.3,0.56,0.5903,0.5922,0.6
taq_Latn,1.0,0.2,0.79,0.5079,0.5922,0.7
taq_Tfng,1.0,0.2,0.79,0.5079,0.5922,0.7
tat_Cyrl,0.4286,0.1,0.51,0.6196,1.0,0.7
tel_Telu,1.0,0.3,0.57,0.5461,0.2952,0.5
tgk_Cyrl,1.0,0.2,0.69,0.6196,0.5922,0.8
tha_Thai,1.0,0.4,0.78,0.4792,0.4477,0.6
tir_Ethi,1.0,0.1,0.65,0.5295,0.5922,0.6
tpi_Latn,1.0,0.6,0.65,0.6304,0.5922,0.7
tsn_Latn,1.0,0.4,0.9,0.6196,0.5922,0.9
