lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
urd_Arab,0.9,0.3,0.58,0.5577,0.0002,0.6
uzn_Latn,1.0,0.2,0.68,0.5812,0.879,0.6
vec_Latn,0.3,0.0,0.61,0.6737,0.0002,0.7
vie_Latn,1.0,0.4,0.61,0.5227,0.5456,0.6
war_Latn,1.0,0.5,1.0,0.6737,0.0002,1.0
wol_Latn,1.0,0.2,0.57,0.4819,0.641,0.5
xho_Latn,1.0,0.4,0.77,0.3855,0.0002,0.6
ydd_Hebr,0.9,0.1,0.77,0.5409,0.0002,0.6
yor_Latn,1.0,0.2,0.62,0.3673,0.5922,0.5
yue_Hant,1.0,0.5,0.63,0.557,0.5922,0.6
zgh_Tfng,1.0,1.0,0.61,0.6737,0.0002,0.7
zsm_Latn,1.0,0.5,0.77,0.4312,0.0002,0.6
zul_Latn,1.0,0.4,0.71,0.4148,0.5228,0.6
