lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
sot_Latn,1.0,0.3,0.75,0.0,0.0002,0.7
spa_Latn,1.0,0.2,0.68,0.6832,0.5922,0.8
srd_Latn,1.0,1.0,0.67,0.0,0.0002,0.8
srp_Cyrl,1.0,0.1,0.74,0.0,0.8278,0.7
ssw_Latn,1.0,0.3,0.73,0.0,0.0002,0.7
sun_Latn,1.0,0.4,0.61,0.6832,0.0002,0.8
swe_Latn,1.0,0.2,0.67,0.6153,0.0002,0.8
swh_Latn,1.0,0.2,0.72,0.6196,0.5687,0.8
szl_Latn,1.0,1.0,0.67,0.0,0.0002,0.8
tam_Taml,1.0,0.2,0.85,0.6196,0.0002,0.9
taq_Latn,0.8571,0.2,0.46,0.6552,0.0002,0.7
taq_Tfng,0.8571,0.2,0.46,0.6552,0.0002,0.7
tat_Cyrl,1.0,0.2,0.74,0.0,0.879,0.7
tel_Telu,1.0,0.2,0.82,0.5608,0.641,0.9
tgk_Cyrl,1.0,0.1,0.72,0.0,0.0002,0.7
tha_Thai,1.0,0.3,0.68,0.6372,0.5687,0.8
tir_Ethi,0.5,0.1,0.82,0.6284,0.0002,0.9
tpi_Latn,1.0,0.6,0.79,0.7451,0.0002,0.9
tsn_Latn,1.0,0.3,1.0,0.0,0.0002,1.0
tso_Latn,1.0,0.3,0.87,0.0,0.0002,0.9
tuk_Latn,1.0,0.1,0.89,0.0,0.879,0.9
tum_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
tur_Latn,1.0,0.1,0.77,0.6196,0.5922,0.9
twi_Latn_akua1239,1.0,0.3,0.86,0.0,0.0002,0.9
twi_Latn_asan1239,1.0,0.3,0.86,0.0,0.0002,0.9
uig_Arab,1.0,0.2,0.83,0.0,0.7877,0.8
ukr_Cyrl,1.0,0.1,0.62,0.6737,0.0002,0.7
umb_Latn,1.0,0.3,0.67,0.6978,0.641,1.0
urd_Arab,1.0,0.1,0.74,0.6025,0.0002,0.9
uzn_Latn,1.0,0.1,0.77,0.6461,0.879,0.9
vec_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
vie_Latn,1.0,0.3,0.62,0.6153,0.5456,0.8
war_Latn,1.0,0.4,1.0,0.0,0.0002,1.0
wol_Latn,1.0,0.3,0.63,0.6153,0.641,0.8
xho_Latn,1.0,0.3,0.79,0.6416,0.0002,0.9
ydd_Hebr,1.0,0.2,0.87,0.6461,0.0002,1.0
yor_Latn,1.0,0.2,0.73,0.6832,0.5922,0.8
yue_Hant,1.0,0.3,0.74,0.7079,0.5922,0.8
zgh_Tfng,1.0,1.0,0.67,0.0,0.0002,0.8
zsm_Latn,1.0,0.3,0.87,0.669,0.0002,1.0
zul_Latn,1.0,0.3,0.76,0.6643,0.5228,0.8
