lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
tso_Latn,1.0,0.4,0.82,0.6068,0.0002,0.9
tuk_Latn,1.0,0.2,0.72,0.6068,0.879,0.8
tum_Latn,1.0,0.4,0.63,0.6068,0.0002,0.6
tur_Latn,1.0,0.1,0.71,0.4527,0.5922,0.6
twi_Latn_akua1239,1.0,0.3,0.74,0.6068,0.0002,0.8
twi_Latn_asan1239,1.0,0.3,0.74,0.6068,0.0002,0.8
uig_Arab,1.0,0.3,0.71,0.6068,0.7877,0.8
ukr_Cyrl,0.9,0.1,0.47,0.4527,0.0002,0.5
umb_Latn,1.0,0.4,0.63,0.4907,0.641,0.7
urd_Arab,0.9,0.3,0.62,0.4971,0.0002,0.5
uzn_Latn,1.0,0.2,0.66,0.5733,0.879,0.6
vec_Latn,0.9,0.0,0.63,0.6068,0.0002,0.6
vie_Latn,1.0,0.5,0.69,0.46,0.5456,0.6
war_Latn,1.0,0.5,1.0,0.6068,0.0002,1.0
wol_Latn,1.0,0.2,0.56,0.4216,0.641,0.5
xho_Latn,1.0,0.5,0.72,0.4324,0.0002,0.5
ydd_Hebr,0.6,0.0,0.76,0.4443,0.0002,0.5
yor_Latn,1.0,0.2,0.68,0.4766,0.5922,0.6
yue_Hant,1.0,0.5,0.66,0.5769,0.5922,0.6
zgh_Tfng,1.0,1.0,0.63,0.6068,0.0002,0.6
zsm_Latn,1.0,0.5,0.76,0.4829,0.0002,0.6
zul_Latn,1.0,0.4,0.74,0.5108,0.5228,0.6
