lang,iso_code,wals_code,script,variety,name,family,genus,d_syn,train_frac_estimate,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,h_dep_avg,h_codep_avg
kmr_Latn,kmr,kji,Latn,nort2641,Northern Kurdish,Indo-European,Iranian,0.74,0.0004367066786041,,,,,,,,,,,,,0.2951773835920177,,,,,,,,,,,,,,,,,0.2562413953378974,0.0
knc_Arab,knc,knr,Arab,cent2050,Central Kanuri (Arabic script),Saharan,Western Saharan,0.73,0.0023929650832001,,,,,3.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,0.5669509103480065,,,,,,,,,,,,,,,,,,
knc_Latn,knc,knr,Latn,cent2050,Central Kanuri (Latin script),Saharan,Western Saharan,0.73,0.0002230136029052,,,,,3.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,0.3806918017972789,,,,,,,,,,,,,,,,,,
lao_Laoo,lao,lao,Laoo,laoo1244,Lao,Tai-Kadai,Kam-Tai,0.59,0.0014295106739919,,,,,,,,,1.0,,,,0.7758438818565401,,,,,,,,,,,,,,,,,,
lit_Latn,lit,lit,Latn,lith1251,Lithuanian,Indo-European,Baltic,0.68,0.0,,,,,,,,,2.0,,,,0.4805557240793545,,,,,,,,,,,,,,,,,0.4591375573468307,0.9625510362507196
lug_Latn,lug,lda,Latn,gand1255,Ganda,Niger-Congo,Bantu,0.78,0.0026269703985187,,,,,,,,,6.0,,,,0.4856547619047619,,,,,,,,,,,,,,,,,,
luo_Latn,luo,luo,Latn,luok1236,Luo,Eastern Sudanic,Western Nilotic,0.63,0.0021409594712226,,,,,,,,,4.0,2.0,,,0.2200707979698895,,,,,,,,,,,,,,,,,,
lus_Latn,lus,miz,Latn,lush1249,Mizo,Sino-Tibetan,Kuki-Chin,0.76,0.0013351374868971,,,,,,,,,1.0,,,,0.1779913322027511,,,,,,,,,,,,,,,,,,
mai_Deva,mai,mai,Deva,mait1250,Maithili,Indo-European,Indic,0.63,0.0022492172625263,,,,,2.0,2.0,2.0,2.0,2.0,,,,0.2415696420871065,,,,,,,,,,,,,,,,,,
mal_Mlym,mal,mym,Mlym,mala1464,Malayalam,Dravidian,Dravidian,0.77,0.0187709187234896,,,,,,,,,,2.0,,,0.6043216436415161,,,,,,,,,,,,,,,,,,
mar_Deva,mar,mhi,Deva,mara1378,Marathi,Indo-European,Indic,0.7,0.013705689655231,,,,,,,,,2.0,,,,0.424388873279011,,,,,,,,,,,,,,,,,0.2251422318931376,0.494141805495958
min_Arab,min,min,Arab,mina1268,Minangkabau (Jawi script),Austronesian,Malayo-Sumbawan,0.65,0.0,,,,,,,,,1.0,1.0,,,0.3342406656052591,,,,,,,,,,,,,,,,,,
min_Latn,min,min,Latn,mina1268,Minangkabau (Latin script),Austronesian,Malayo-Sumbawan,0.65,0.0005183936280125,,,,,,,,,1.0,1.0,,,0.2664754953076121,,,,,,,,,,,,,,,,,,
mni_Beng,mni,mei,Beng,mani1292,"Meitei (Manipuri, Bengali script)",Sino-Tibetan,Manipuri,0.69,9.322733572110016e-05,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,0.4079489857621901,,,,,,,,,,,,,,,,,,
mos_Latn,mos,moo,Latn,moss1236,Mossi,Niger-Congo,Oti-Volta,0.68,0.0004135929016664,,,,,,,,,2.0,1.0,,,0.2575701089432915,,,,,,,,,,,,,,,,,,
mri_Latn,mri,mao,Latn,maor1246,Maori,Austronesian,Oceanic,0.53,0.0016933239889773,7.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.1271267040050724,,,,,,,,,,,,,,,,,,
mya_Mymr,mya,brm,Mymr,nucl1310,Burmese,Sino-Tibetan,Burmese-Lolo,0.73,0.0026348369125403,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.8339107195882411,,,,,,,,,,,,,,,,,,
npi_Deva,npi,nep,Deva,nepa1254,Nepali,Indo-European,Indic,0.88,0.0082764886659896,,,,,2.0,2.0,2.0,2.0,2.0,,,,0.4117647058823529,,,,,,,,,,,,,,,,,,
nus_Latn,nus,nue,Latn,nuer1246,Nuer,Eastern Sudanic,Western Nilotic,0.71,0.0004939368855486,,,,,,,,,2.0,,,,0.1701285116557083,,,,,,,,,,,,,,,,,,
ory_Orya,ory,oya,Orya,oriy1255,Odia,Indo-European,Indic,0.57,0.007842104506314,,,,,,,,,2.0,,,,0.3631878150809825,,,,,,,,,,,,,,,,,,
pag_Latn,pag,pnn,Latn,pang1290,Pangasinan,Austronesian,Northern Luzon,0.72,0.0009071410292379,,,,,,,,,,1.0,,,0.2658691877291144,,,,,,,,,,,,,,,,,,
pan_Guru,pan,pan,Guru,panj1256,Eastern Panjabi,Indo-European,Indic,0.65,0.0061080329557168,,,,,,,,,2.0,1.0,,,0.2388065843621399,,,,,,,,,,,,,,,,,,
plt_Latn,plt,mal,Latn,plat1254,Plateau Malagasy,Austronesian,Barito,0.68,0.0023072113096052,1.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,0.2435938427807975,,,,,,,,,,,,,,,,,,
prs_Arab,prs,dri,Arab,dari1249,Dari,Indo-European,Iranian,1.0,0.0012518626836118,,,,,,,,,,1.0,,,0.2346034655842171,,,,,,,,,,,,,,,,,,
quy_Latn,quy,qay,Latn,ayac1239,Ayacucho Quechua,Quechuan,Quechuan,0.92,0.0010604931047976,,,,,,,,,,1.0,,,0.5238445588923818,,,,,,,,,,,,,,,,,,
run_Latn,run,rnd,Latn,rund1242,Rundi,Niger-Congo,Bantu,0.95,0.0020182915595327,,,,,,,,,,1.0,,,0.3516313823163138,,,,,,,,,,,,,,,,,,
sag_Latn,sag,san,Latn,sang1328,Sango,Niger-Congo,Ubangi,0.62,0.0008622312773801,1.0,5.0,6.0,1.0,4.0,2.0,5.0,2.0,6.0,,1.0,3.0,0.1081697701727898,,,,,,,,,,,,,,,,,,
san_Deva,san,,Deva,sans1269,Sanskrit,Eastern Sudanic,Eastern Nilotic,0.86,0.0015578409222043,,,,,,,,,,,,,0.5109167635007034,,,,,,,,,,,,,,,,,0.5456985376171136,0.4913251121432864
sat_Olck,sat,stl,Olck,sant1410,Santali,Austro-Asiatic,Munda,0.72,0.0,,,,,,,,,2.0,1.0,,,0.2741046233991752,,,,,,,,,,,,,,,,,,
smo_Latn,smo,sam,Latn,samo1305,Samoan,Austronesian,Oceanic,0.67,0.001921769080563,,,,,,,,,1.0,1.0,,,0.1218254098629957,,,,,,,,,,,,,,,,,,
sna_Latn,sna,shn,Latn,shon1251,Shona,Niger-Congo,Bantu,0.75,0.0051588271098744,,,,,,,,,6.0,,,,0.492082751926227,,,,,,,,,,,,,,,,,,
som_Latn,som,som,Latn,soma1255,Somali,Afro-Asiatic,Lowland East Cushitic,0.62,0.0046133626519866,,,,,,,,,2.0,1.0,,,0.334800953953403,,,,,,,,,,,,,,,,,,
sot_Latn,sot,ses,Latn,sout2807,Southern Sotho,Niger-Congo,Bantu,0.65,0.0033609808342466,,,,,,,,,,1.0,,,0.1792270355096529,,,,,,,,,,,,,,,,,,
srp_Cyrl,srp,,Cyrl,serb1264,Serbian,Eastern Sudanic,Eastern Nilotic,0.62,0.0,,,,,,,,,,,,,0.4004213338814099,,,,,,,,,,,,,,,,,0.3409187567596479,0.6042900134004721
ssw_Latn,ssw,swt,Latn,swat1243,Swati,Niger-Congo,Bantu,0.71,0.000795811648757,,,,,,,,,,1.0,,,0.5736288756445457,,,,,,,,,,,,,,,,,,
