lang,iso_code,wals_code,script,variety,name,family,genus,d_syn,train_frac_estimate,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,h_dep_avg,h_codep_avg
gla_Latn,gla,gae,Latn,scot1245,Scottish Gaelic,Indo-European,Celtic,0.55,0.0014916164019469,,,,,,,,,3.0,3.0,,,0.2103253458016754,,,,,,,,,,,,,,,,,,
gle_Latn,gle,iri,Latn,iris1253,Irish,Indo-European,Celtic,0.62,0.004251864048641,,,,,,,,,4.0,3.0,3.0,2.0,0.239448680830241,,,,,,,,,,,,,,,,,0.3806442227561202,0.2954942567819
gug_Latn,gug,gua,Latn,para1311,Paraguayan Guaraní,Tupian,Maweti-Guarani,0.71,0.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0,,1.0,3.0,0.3730949925518506,,,,,,,,,,,,,,,,,,
hau_Latn,hau,hau,Latn,haus1257,Hausa,Afro-Asiatic,West Chadic,0.45,0.0036786154301055,2.0,5.0,1.0,4.0,3.0,2.0,5.0,2.0,1.0,1.0,4.0,1.0,0.189664490915894,,,,,,,,,,,,,,,,,,
heb_Hebr,heb,heb,Hebr,hebr1245,Hebrew,Afro-Asiatic,Semitic,0.52,0.0,6.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,0.4949488875526157,0.265816,0.002916649448,1.404472533,0.004894390514,0.188939859,0.008729938803,9.489467886,0.0268604452,8.799549238,0.02686774285,12.0,0.0,3.582896654,0.4987717643,-0.4390258522,0.0,0.3585033523111254,0.6188741742433425
hin_Deva,hin,hin,Deva,hind1269,Hindi,Indo-European,Indic,0.59,0.0368332622130518,1.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,3.0,2.0,0.2220896750308515,0.2209145,0.002932237158,1.197362476,0.004518716303,0.2165604927,0.00535206021,9.677578621,0.02597274565,9.024242814,0.03088907657,10.48,0.4995998399,3.386435367,0.3419674023,-0.6769703836,0.0,0.1624120983654735,0.4975648564156359
hun_Latn,hun,hun,Latn,hung1274,Hungarian,Uralic,Ugric,0.6,0.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,3.0,0.451831750339213,0.348783,0.004860597803,1.391733545,0.004667974766,0.5965972903,0.007500796436,10.77446023,0.02264205279,10.17339126,0.02637111889,8.0,0.0,3.72509046,0.6553107254,-0.3979728231,0.0,0.4268370635128947,0.7945119563162655
hye_Armn,hye,arm,Armn,nucl1235,Armenian,Indo-European,Armenian,0.66,0.0038406527454455,,,,2.0,,,,,2.0,2.0,3.0,3.0,0.4255261000273299,,,,,,,,,,,,,,,,,,
ibo_Latn,ibo,igb,Latn,nucl1417,Igbo,Niger-Congo,Igboid,0.61,0.0047853501292869,,,,,,,,,,1.0,1.0,1.0,0.2003914546287427,,,,,,,,,,,,,,,,,,
ilo_Latn,ilo,ilo,Latn,ilok1237,Ilocano,Austronesian,Northern Luzon,0.7,0.0008069180557143,,,,,,,,,,1.0,,,0.2433936022253129,,,,,,,,,,,,,,,,,,
